Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
170372343,B05,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:34 PM,02/06/2017 03:28:18 PM,,,Fire,02/06/2017 03:49:43 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,CHIEF,3,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-B05
170372343,B07,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:26:09 PM,02/06/2017 03:28:12 PM,,,Fire,02/06/2017 03:44:43 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,CHIEF,2,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-B07
170372343,D2,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:02 PM,02/06/2017 03:28:58 PM,,,Fire,02/06/2017 03:44:07 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,CHIEF,5,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-D2
170372343,E10,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:33 PM,02/06/2017 03:27:05 PM,,,Fire,02/06/2017 03:48:16 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,true,Alarm,1,ENGINE,1,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-E10
170372343,E21,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:07 PM,02/06/2017 03:28:38 PM,,,Fire,02/06/2017 03:43:31 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,true,Alarm,1,ENGINE,4,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-E21
170372343,E31,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:19 PM,,,,Fire,02/06/2017 03:38:48 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,ENGINE,9,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-E31
170372343,RS1,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:13 PM,,,,Fire,02/06/2017 03:33:14 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,RESCUE SQUAD,10,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-RS1
170372343,T10,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:32 PM,,,,Fire,02/06/2017 04:02:35 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,TRUCK,7,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-T10
170372343,T16,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:25:05 PM,,,,Fire,02/06/2017 04:00:53 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,false,Alarm,1,TRUCK,8,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-T16
170394233,53,17017281,Structure Fire,02/08/2017,02/08/2017,02/08/2017 11:27:41 PM,02/08/2017 11:30:05 PM,02/08/2017 11:30:17 PM,02/08/2017 11:30:26 PM,,,,Fire,02/08/2017 11:34:06 PM,1500 Block of GROVE ST,San Francisco,94117,B05,,4253,3,3,3,true,Alarm,1,MEDIC,8,5,5,Lone Mountain/USF,"(37.7754543454069, -122.442133697759)",170394233-53
